League,Match_Date,Matchweek,Team,Home_Away,Home_Team,Away_Team,Home_Score,Away_Score,Home_Formation,Away_Formation,season,Formation,npxG_Expected,SoT,xAG_Expected,SCA_SCA,GCA_SCA,PrgP_Passes,PrgC_Carries,Succ_Take_Ons,Tkl,Int,Blocks,team_Shots_MQS,team_DA_MQS,team_Poss_MQS,team_Def_MQS,team_MQS
UEFA Champions League,2021-12-07,UEFA Champions League (Group stage),Beşiktaş,Away,Dortmund,Beşiktaş,5,0,4-3-3,4-2-3-1,2021-2022,4-2-3-1,2.1044992743105952,3.483309143686502,3.7735849056603774,0.8708272859216255,28.88243831640058,8.853410740203193,9.724238026124818,29.172714078374458,78.73730043541364,69.23076923076923,94.48476052249637,2.7939042089985486,11.175616835994195,9.288824383164005,67.90638606676342,29.93798654176013
UEFA Champions League,2021-12-07,UEFA Champions League (Group stage),Milan,Home,Milan,Liverpool,1,2,4-2-3-1,4-3-3,2021-2022,4-2-3-1,61.82873730043541,41.146589259796805,37.953555878084174,28.519593613933235,60.087082728592165,36.79245283018868,9.724238026124818,48.76632801161103,78.73730043541364,87.30043541364296,64.51378809869375,51.48766328011611,42.186744073536524,23.258345428156748,69.82946298984035,50.488191054228786
UEFA Champions League,2021-12-07,UEFA Champions League (Group stage),Liverpool,Away,Milan,Liverpool,1,2,4-2-3-1,4-3-3,2021-2022,4-3-3,77.06821480406386,87.4455732946299,70.89985486211901,88.89695210449928,60.087082728592165,59.57910014513787,22.35123367198839,56.966618287373,44.339622641509436,75.39912917271407,85.05079825834542,82.25689404934687,73.29462989840349,40.965166908563134,65.43904208998548,66.18947090645203
UEFA Champions League,2021-12-07,UEFA Champions League (Group stage),Shakhtar Donetsk,Home,Shakhtar Donetsk,Sheriff Tiraspol,1,1,4-1-4-1,4-3-2-1,2021-2022,4-1-4-1,82.22060957910014,68.86792452830188,85.92162554426706,90.27576197387518,60.087082728592165,72.93178519593614,93.75907111756169,91.36429608127722,15.239477503628446,50.79825834542816,1.6690856313497822,75.54426705370102,78.7614900822448,83.34542815674891,39.7677793904209,64.83045256630163
UEFA Champions League,2021-12-07,UEFA Champions League (Group stage),Sheriff Tiraspol,Away,Shakhtar Donetsk,Sheriff Tiraspol,1,1,4-1-4-1,4-3-2-1,2021-2022,4-3-2-1,40.711175616835995,54.862119013062404,24.74600870827286,42.96081277213353,35.99419448476052,22.85921625544267,76.56023222060958,64.73149492017417,86.13933236574745,87.30043541364296,35.92162554426706,47.7866473149492,34.567005321722306,49.709724238026126,68.5232220609579,52.07151339226811
UEFA Champions League,2021-12-08,UEFA Champions League (Group stage),Juventus,Home,Juventus,Malmö,1,0,4-2-3-1,5-4-1,2021-2022,4-2-3-1,84.1799709724238,87.4455732946299,60.88534107402032,61.901306240928875,60.087082728592165,72.93178519593614,88.53410740203192,48.76632801161103,98.76632801161102,61.03047895500726,79.75326560232222,85.81277213352685,60.957910014513786,80.73294629898403,72.07910014513789,73.11650613537405
UEFA Champions League,2021-12-08,UEFA Champions League (Group stage),Malmö,Away,Juventus,Malmö,1,0,4-2-3-1,5-4-1,2021-2022,5-4-1,4.571843251088534,25.907111756168362,8.055152394775037,10.740203193033382,28.88243831640058,25.326560232220608,22.35123367198839,78.51959361393324,15.239477503628446,81.56748911465893,64.51378809869375,15.239477503628448,15.892597968069667,23.8388969521045,59.96008708272859,33.243171922417204
UEFA Champions League,2021-12-08,UEFA Champions League (Group stage),Manchester United,Home,Manchester United,Young Boys,1,1,4-1-4-1,4-4-2,2021-2022,4-1-4-1,51.088534107402026,68.86792452830188,60.88534107402032,21.04499274310595,60.087082728592165,19.81132075471698,28.156748911465897,83.09143686502178,89.84034833091437,81.56748911465893,55.29753265602322,59.978229317851955,47.33913884857281,23.98403483309144,77.44920174165458,56.33988652856577
UEFA Champions League,2021-12-08,UEFA Champions League (Group stage),Young Boys,Away,Manchester United,Young Boys,1,1,4-1-4-1,4-4-2,2021-2022,4-4-2,56.313497822931794,54.862119013062404,60.88534107402032,65.38461538461539,35.99419448476052,72.93178519593614,56.16835994194484,56.966618287373,15.239477503628446,50.79825834542816,44.412191582002905,55.587808417997095,54.088050314465406,64.5500725689405,41.854136429608126,51.81422351233672
UEFA Champions League,2021-12-08,UEFA Champions League (Group stage),Benfica,Home,Benfica,Dynamo Kyiv,2,0,3-4-3,4-4-2,2021-2022,3-4-3,46.00870827285922,79.10014513788099,24.74600870827286,42.96081277213353,81.27721335268505,30.333817126269956,38.38896952104499,72.42380261248186,51.37880986937591,81.56748911465893,55.29753265602322,62.554426705370105,49.66134494436381,34.361393323657474,65.16690856313498,54.86211901306241
